pais,poblacion
Afganistán,29121286
Albania,2986952
Alemania,81802257
Andorra,84000
Angola,13068161
Antigua y Barbuda,86754
Arabia Saudita,25731776
Argelia,34586184
Argentina,41343201
Armenia,2968000
Australia,21515754
Austria,8205000
Azerbaiyán,8303512
Bahamas,301790
Bangladés,156118464
Barbados,285653
Baréin,738004
Bélgica,10403000
Belice,314522
Benín,9056010
Bielorrusia,9685000
Birmania,53414374
Bolivia,9947418
Bosnia y Herzegovina,4590000
Botsuana,2029307
Brasil,201103330
Brunéi,395027
Bulgaria,7148785
Burkina Faso,16241811
Burundi,9863117
Bután,699847
Cabo Verde,508659
Camboya,14453680
Camerún,19294149
Canadá,33679000
Catar,840926
Chad,10543464
Chile,16746491
China,1330044000
Chipre,1102677
Ciudad del Vaticano,921
Colombia,47790000
Comoras,773407
Corea del Norte,22912177
Corea del Sur,48422644
Costa de Marfil,21058798
Costa Rica,4516220
Croacia,4491000
Cuba,11423000
Dinamarca,5484000
Dominica,72813
Ecuador,14790608
Egipto,80471869
El Salvador,6052064
Emiratos Árabes Unidos,4975593
Eritrea,5792984
Eslovaquia,5455000
Eslovenia,2007000
España,46505963
Estados Unidos,310232863
Estonia,1291170
Etiopía,88013491
Filipinas,99900177
Finlandia,5244000
Fiyi,875983
Francia,64768389
Gabón,1545255
Gambia,1593256
Georgia,4630000
Ghana,24339838
Granada,107818
Grecia,11000000
Guatemala,13550440
Guinea,10324025
Guinea-Bisáu,1565126
Guinea Ecuatorial,1014999
Guyana,748486
Haití,9648924
Honduras,7989415
Hungría,9982000
India,1173108018
Indonesia,242968342
Irak,29671605
Irán,76923300
Irlanda,4622917
Islandia,308910
Islas Salomón,559198
Israel,7353985
Italia,60340328
Jamaica,2847232
Japón,127288000
Jordania,6407085
Kazajistán,15340000
Kenia,40046566
Kirguistán,5508626
Kiribati,92533
Kuwait,2789132
Laos,6368162
Lesoto,1919552
Letonia,2217969
Líbano,4125247
Liberia,3685076
Libia,6461454
Liechtenstein,35000
Lituania,2944459
Luxemburgo,497538
Madagascar,21281844
Malasia,28274729
Malaui,15447500
Maldivas,395650
Malí,13796354
Malta,403000
Marruecos,31627428
Mauricio,1294104
Mauritania,3205060
México,112468855
Moldavia,4324000
Mónaco,32965
Mongolia,3086918
Montenegro,666730
Mozambique,22061451
Namibia,2128471
Nauru,10065
Nepal,28951852
Nicaragua,5995928
Níger,15878271
Nigeria,154000000
Noruega,5009150
Nueva Zelanda,4252277
Omán,2967717
Países Bajos,16645000
Pakistán,184404791
Panamá,3410676
Papúa Nueva Guinea,6064515
Paraguay,6375830
Perú,29907003
Polonia,38500000
Portugal,10676000
Reino Unido,62348447
República Democrática del Congo,70916439
República Centroafricana,4844927
República Checa,10476000
República de Macedonia,2062294
República del Congo,3039126
República Dominicana,9823821
Ruanda,11055976
Rumania,21959278
Rusia,140702000
Samoa,192001
San Cristóbal y Nieves,51134
San Marino,31477
San Vicente y las Granadinas,104217
Santa Lucía,160922
Santo Tomé y Príncipe,175808
Senegal,12323252
Serbia,7344847
Seychelles,88340
Sierra Leona,5245695
Singapur,4701069
Siria,22198110
Somalia,10112453
Sri Lanka,21513990
Suazilandia,1354051
Sudáfrica,49000000
Sudán,35000000
Suecia,9555893
Suiza,7581000
Surinam,492829
Tailandia,67089500
Taiwán,22894384
Tanzania,41892895
Tayikistán,7487489
Timor Oriental,1154625
Togo,6587239
Tonga,122580
Trinidad y Tobago,1228691
Túnez,10589025
Turkmenistán,4940916
Turquía,77804122
Tuvalu,10472
Ucrania,45415596
Uganda,33398682
Uruguay,3477000
Uzbekistán,27865738
Vanuatu,221552
Venezuela,27223228
Vietnam,89571130
Yemen,23495361
Yibuti,740528
Zambia,13460305
Zimbabue,11651858
